csv_line_id,element_id,thematic_surface,parent_id,element_gml_id,has_holes,related_to,geometry_wkt,construction_gmlid
108,93,party_wall,91,583231c4-26dc-4b70-b557-be70c84c6567,False,[37],"MULTIPOLYGON Z (((-46.148 14.162 6.657, -38.922 14.296 6.657, -38.922 14.296 3.052, -46.148 14.162 3.052, -46.148 14.162 6.657)))",LayeredConstr_id_0014
109,93,party_wall_with_hole,91,583231c4-26dc-4b70-b557-be70c84c6567,True,[37],"MULTIPOLYGON Z (((-38.922 14.295999999999998 6.657, -46.148 14.161999999999999 6.657, -46.148 14.161999999999999 3.052, -38.922 14.295999999999998 3.052, -38.922 14.295999999999998 6.657), (-44.49999185733656 14.192560903835718 6.164, -45.929001133918476 14.166061146976878 6.164, -45.929001133918476 14.166061146976878 3.715, -44.49999185733656 14.192560903835718 3.715, -44.49999185733656 14.192560903835718 6.164)))",LayeredConstr_id_0014
110,95,party_wall,91,99c111fd-0533-4785-8464-63ba5b540d14,False,[101],"MULTIPOLYGON Z (((-38.922 14.296 6.657, -38.812 6.622 6.657, -38.812 6.622 3.052, -38.922 14.296 3.052, -38.922 14.296 6.657)))",LayeredConstr_id_0012
111,96,external,91,f234a2a5-8085-4ac4-bda0-536887465b46,False,[],"MULTIPOLYGON Z (((-38.812 6.622 6.657, -46.039 6.515 6.657, -46.039 6.515 3.052, -38.812 6.622 3.052, -38.812 6.622 6.657)))",LayeredConstr_id_0116
112,96,external_with_hole,91,f234a2a5-8085-4ac4-bda0-536887465b46,True,[],"MULTIPOLYGON Z (((-46.039 6.515000000000001 6.657, -46.039 6.515000000000001 3.052, -38.812 6.622 3.052, -38.812 6.622 6.657, -46.039 6.515000000000001 6.657), (-45.83999920529819 6.517946324205493 5.988, -45.83999920529819 6.517946324205493 4.622, -38.97599366286749 6.619571977040706 4.622, -38.97599366286749 6.619571977040706 5.988, -45.83999920529819 6.517946324205493 5.988)))",LayeredConstr_id_0116
113,99,ceiling,91,85087dfd-4f5b-4ef7-a8ae-d92d00f457ca,False,[],"MULTIPOLYGON Z (((-46.039 6.515 6.657, -38.812 6.622 6.657, -38.922 14.296 6.657, -46.148 14.162 6.657, -46.039 6.515 6.657)))",LayeredConstr_id_0108
114,98,floor,91,bfda0c7e-f427-4b38-9dc7-1537fc2ae2ee,False,[],"MULTIPOLYGON Z (((-46.039 6.515 3.052, -46.148 14.162 3.052, -38.922 14.296 3.052, -38.812 6.622 3.052, -46.039 6.515 3.052)))",LayeredConstr_id_0109
115,94,door,93,0d4e352c-bb75-4f25-ad78-94363b65e96c,True,[38],"MULTIPOLYGON Z (((-44.5 14.193 3.715, -45.929 14.166 3.715, -45.929 14.166 6.164, -44.5 14.193 6.164, -44.5 14.193 3.715)))",
116,97,window,96,d7deabe3-e68a-4a10-bed6-f9c20805287f,True,[],"MULTIPOLYGON Z (((-45.84 6.518 4.622, -38.976 6.62 4.622, -38.976 6.62 5.988, -45.84 6.518 5.988, -45.84 6.518 4.622)))",LayeredConstr_id_0106
117,100,room,0,76cca9e8-55c3-4d3d-9d87-aa8f4a441a11,,[],,
118,101,party_wall,100,815edcdc-d786-412c-b6d3-b30856cd9062,False,[95],"MULTIPOLYGON Z (((-38.812 6.622 6.657, -38.922 14.296 6.657, -38.922 14.296 3.052, -38.812 6.622 3.052, -38.812 6.622 6.657)))",LayeredConstr_id_0012
119,102,party_wall,100,4f1216af-3045-4658-bc74-97269f578132,False,[35],"MULTIPOLYGON Z (((-38.922 14.296 6.657, -31.419 14.435 6.657, -31.419 14.435 3.052, -38.922 14.296 3.052, -38.922 14.296 6.657)))",LayeredConstr_id_0014
120,102,party_wall_with_hole,100,4f1216af-3045-4658-bc74-97269f578132,True,[35],"MULTIPOLYGON Z (((-31.419 14.435 6.657, -31.419 14.435 3.052, -38.922 14.296 3.052, -38.922 14.296 6.657, -31.419 14.435 6.657), (-36.55099861035371 14.339924989092474 5.85, -36.55099861035371 14.339924989092474 3.728, -37.57599881275335 14.320935914304583 3.728, -37.57599881275335 14.320935914304583 5.85, -36.55099861035371 14.339924989092474 5.85)))",LayeredConstr_id_0014
121,104,external,100,b2421910-a0d9-4425-a96b-9f2691c24809,False,[],"MULTIPOLYGON Z (((-31.419 14.435 3.052, -31.419 14.435 6.657, -31.413 13.875 6.657, -31.413 13.875 3.052, -31.419 14.435 3.052)))",LayeredConstr_id_0003
